Model: boxes_aligned
Mesh: TriangleMesh with 392648 points and 588972 triangles.
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-0.89  0.36  0.  ]
Goal Point: [ 0.59 -0.57  0.  ]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.1 seconds
  Number of Paths: 100
  Average Path Length: 2.1988
  Shortest Path Length: 1.89
  Longest Path Length: 2.99
  Path Length Std Dev: 0.19098837660967752
  Average Time Per Path: 0.10869999999999999 seconds
  Time Per Path Std Dev: 0.04408298991674678 seconds

  Paths:
    Path 18: Length = 1.91 units, Duration = 5.01 seconds
    Path 19: Length = 1.94 units, Duration = 5.45 seconds
    Path 20: Length = 1.89 units, Duration = 5.02 seconds
    Path 21: Length = 1.92 units, Duration = 5.02 seconds
    Path 22: Length = 1.96 units, Duration = 5.05 seconds
    Path 23: Length = 1.88 units, Duration = 5.03 seconds
    Path 24: Length = 1.92 units, Duration = 5.01 seconds
    Path 25: Length = 1.9 units, Duration = 5.04 seconds
    Path 26: Length = 1.92 units, Duration = 5.03 seconds
    Path 27: Length = 1.92 units, Duration = 5.01 seconds
    Path 28: Length = 1.91 units, Duration = 5.02 seconds
    Path 29: Length = 1.92 units, Duration = 5.02 seconds
    Path 30: Length = 1.88 units, Duration = 5.02 seconds
    Path 31: Length = 1.92 units, Duration = 5.01 seconds
    Path 32: Length = 1.9 units, Duration = 5.02 seconds
    Path 33: Length = 1.9 units, Duration = 5.02 seconds
    Path 34: Length = 1.91 units, Duration = 5.01 seconds
    Path 35: Length = 1.91 units, Duration = 5.02 seconds
    Path 36: Length = 1.89 units, Duration = 5.04 seconds
    Path 37: Length = 1.96 units, Duration = 5.02 seconds
    Path 38: Length = 1.94 units, Duration = 5.03 seconds
    Path 39: Length = 1.89 units, Duration = 5.03 seconds
    Path 40: Length = 1.97 units, Duration = 5.02 seconds
    Path 41: Length = 1.91 units, Duration = 5.02 seconds
    Path 42: Length = 1.88 units, Duration = 5.02 seconds
    Path 43: Length = 1.95 units, Duration = 5.02 seconds
    Path 44: Length = 1.94 units, Duration = 5.02 seconds
    Path 45: Length = 1.94 units, Duration = 5.02 seconds
    Path 46: Length = 1.95 units, Duration = 5.03 seconds
    Path 47: Length = 1.94 units, Duration = 5.02 seconds
    Path 48: Length = 1.97 units, Duration = 5.02 seconds
    Path 49: Length = 1.9 units, Duration = 5.03 seconds
    Path 50: Length = 1.96 units, Duration = 5.02 seconds
    Path 51: Length = 1.94 units, Duration = 5.01 seconds
    Path 52: Length = 1.9 units, Duration = 5.03 seconds
    Path 53: Length = 1.94 units, Duration = 5.02 seconds
    Path 54: Length = 1.89 units, Duration = 5.03 seconds
    Path 55: Length = 1.89 units, Duration = 5.06 seconds
    Path 56: Length = 1.91 units, Duration = 5.06 seconds
    Path 57: Length = 1.94 units, Duration = 5.02 seconds
    Path 58: Length = 1.93 units, Duration = 5.06 seconds
    Path 59: Length = 1.93 units, Duration = 5.06 seconds
    Path 60: Length = 1.91 units, Duration = 5.04 seconds
    Path 61: Length = 1.92 units, Duration = 5.02 seconds
    Path 62: Length = 1.92 units, Duration = 5.02 seconds
    Path 63: Length = 1.96 units, Duration = 5.05 seconds
    Path 64: Length = 1.93 units, Duration = 5.03 seconds
    Path 65: Length = 1.88 units, Duration = 5.01 seconds
    Path 66: Length = 1.9 units, Duration = 5.02 seconds
    Path 67: Length = 1.92 units, Duration = 5.04 seconds
    Path 68: Length = 1.98 units, Duration = 5.02 seconds
    Path 69: Length = 1.93 units, Duration = 5.02 seconds
    Path 70: Length = 1.91 units, Duration = 5.04 seconds
    Path 71: Length = 1.9 units, Duration = 5.05 seconds
    Path 72: Length = 1.88 units, Duration = 5.06 seconds
    Path 73: Length = 1.94 units, Duration = 5.02 seconds
    Path 74: Length = 1.95 units, Duration = 5.01 seconds
    Path 75: Length = 1.94 units, Duration = 5.01 seconds
    Path 76: Length = 1.89 units, Duration = 5.02 seconds
    Path 77: Length = 1.92 units, Duration = 5.04 seconds
    Path 78: Length = 1.94 units, Duration = 5.01 seconds
    Path 79: Length = 1.96 units, Duration = 5.02 seconds
    Path 80: Length = 1.98 units, Duration = 5.49 seconds
    Path 81: Length = 1.9 units, Duration = 5.04 seconds
    Path 82: Length = 1.93 units, Duration = 5.02 seconds
    Path 83: Length = 1.94 units, Duration = 5.03 seconds
    Path 84: Length = 1.9 units, Duration = 5.03 seconds
    Path 85: Length = 1.88 units, Duration = 5.06 seconds
    Path 86: Length = 1.91 units, Duration = 5.06 seconds
    Path 87: Length = 1.92 units, Duration = 5.03 seconds
