Model: cuboids_0.7_0
Mesh: TriangleMesh with 223016 points and 334524 triangles.
Camera Bounds: (0.005, 0.005, 0.02)
Start Point: [-0.33  0.1  -0.44]
Goal Point: [ 0.22 -0.16 -0.44]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 10.37 seconds
  Number of Paths: 100
  Average Path Length: 0.723
  Shortest Path Length: 0.65
  Longest Path Length: 0.92
  Path Length Std Dev: 0.04982971001320397
  Average Time Per Path: 0.10009999999999998 seconds
  Time Per Path Std Dev: 0.0009949874371066195 seconds

  Paths:
    Path 76: Length = 0.96 units, Duration = 0.01 seconds
    Path 77: Length = 0.92 units, Duration = 0.02 seconds
    Path 78: Length = 1.4 units, Duration = 0.02 seconds
    Path 79: Length = 0.82 units, Duration = 0.01 seconds
    Path 80: Length = 0.93 units, Duration = 0.01 seconds
    Path 81: Length = 0.93 units, Duration = 0.01 seconds
    Path 82: Length = 0.96 units, Duration = 0.01 seconds
    Path 83: Length = 1.15 units, Duration = 0.02 seconds
    Path 84: Length = 1.29 units, Duration = 0.01 seconds
    Path 85: Length = 0.93 units, Duration = 0.01 seconds
    Path 86: Length = 1.22 units, Duration = 0.02 seconds
    Path 87: Length = 0.88 units, Duration = 0.02 seconds
    Path 88: Length = 1.11 units, Duration = 0.02 seconds
    Path 89: Length = 1.12 units, Duration = 0.01 seconds
    Path 90: Length = 1.32 units, Duration = 0.01 seconds
    Path 91: Length = 1.08 units, Duration = 0.01 seconds
    Path 92: Length = 1.32 units, Duration = 0.01 seconds
    Path 93: Length = 1.09 units, Duration = 0.01 seconds
    Path 94: Length = 1.35 units, Duration = 0.01 seconds
    Path 95: Length = 0.97 units, Duration = 0.01 seconds
    Path 96: Length = 2.02 units, Duration = 0.02 seconds
    Path 97: Length = 1.18 units, Duration = 0.02 seconds
    Path 98: Length = 0.73 units, Duration = 0.01 seconds
    Path 99: Length = 0.8 units, Duration = 0.01 seconds
    Path 100: Length = 1.39 units, Duration = 0.02 seconds

Planner: PRMstar
  Status: Successful
  Total Time Taken: 503.84 seconds
  Number of Paths: 100
  Average Path Length: 0.6591
  Shortest Path Length: 0.63
  Longest Path Length: 0.68
  Path Length Std Dev: 0.014838800490605715
  Average Time Per Path: 5.0386 seconds
  Time Per Path Std Dev: 0.01490100667740264 seconds

  Paths:
    Path 1: Length = 0.67 units, Duration = 5.03 seconds
    Path 2: Length = 0.68 units, Duration = 5.03 seconds
    Path 3: Length = 0.66 units, Duration = 5.06 seconds
    Path 4: Length = 0.64 units, Duration = 5.05 seconds
    Path 5: Length = 0.63 units, Duration = 5.04 seconds
    Path 6: Length = 0.65 units, Duration = 5.04 seconds
    Path 7: Length = 0.66 units, Duration = 5.03 seconds
    Path 8: Length = 0.64 units, Duration = 5.04 seconds
    Path 9: Length = 0.67 units, Duration = 5.01 seconds
    Path 10: Length = 0.67 units, Duration = 5.05 seconds
    Path 11: Length = 0.64 units, Duration = 5.04 seconds
    Path 12: Length = 0.68 units, Duration = 5.04 seconds
    Path 13: Length = 0.65 units, Duration = 5.03 seconds
    Path 14: Length = 0.67 units, Duration = 5.03 seconds
    Path 15: Length = 0.67 units, Duration = 5.06 seconds
    Path 16: Length = 0.67 units, Duration = 5.05 seconds
    Path 17: Length = 0.63 units, Duration = 5.04 seconds
    Path 18: Length = 0.63 units, Duration = 5.04 seconds
    Path 19: Length = 0.64 units, Duration = 5.04 seconds
    Path 20: Length = 0.66 units, Duration = 5.03 seconds
    Path 21: Length = 0.68 units, Duration = 5.06 seconds
    Path 22: Length = 0.66 units, Duration = 5.04 seconds
    Path 23: Length = 0.66 units, Duration = 5.03 seconds
    Path 24: Length = 0.67 units, Duration = 5.03 seconds
