Model: stonehenge
Mesh: TriangleMesh with 10995 points and 18402 triangles, and textures of size (4096, 4096) (2048, 2048) (1024, 1024) (2048, 2048) (1024, 1024) (2048, 2048) (2048, 2048) (2048, 2048) 
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-1.24  0.31  0.08]
Goal Point: [ 0.46 -0.79  0.08]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.64 seconds
  Number of Paths: 100
  Average Path Length: 2.2478
  Shortest Path Length: 2.08
  Longest Path Length: 2.75
  Path Length Std Dev: 0.15726779708509941
  Average Time Per Path: 0.1128 seconds
  Time Per Path Std Dev: 0.08858984140407974 seconds

  Paths:
    Path 30: Length = 3.25 units, Duration = 0.13 seconds
    Path 31: Length = 5.04 units, Duration = 0.17 seconds
    Path 32: Length = 3.82 units, Duration = 0.3 seconds
    Path 33: Length = 4.46 units, Duration = 0.17 seconds
    Path 34: Length = 3.18 units, Duration = 0.19 seconds
    Path 35: Length = 2.79 units, Duration = 0.3 seconds
    Path 36: Length = 4.02 units, Duration = 0.21 seconds
    Path 37: Length = 3.88 units, Duration = 0.25 seconds
    Path 38: Length = 5.05 units, Duration = 0.23 seconds
    Path 39: Length = 3.76 units, Duration = 0.14 seconds
    Path 40: Length = 4.76 units, Duration = 0.25 seconds
    Path 41: Length = 3.12 units, Duration = 0.18 seconds
    Path 42: Length = 6.95 units, Duration = 0.15 seconds
    Path 43: Length = 3.3 units, Duration = 0.1 seconds
    Path 44: Length = 3.31 units, Duration = 0.16 seconds
    Path 45: Length = 4.3 units, Duration = 0.22 seconds
    Path 46: Length = 4.13 units, Duration = 0.13 seconds
    Path 47: Length = 6.46 units, Duration = 0.17 seconds
    Path 48: Length = 4.14 units, Duration = 0.29 seconds
    Path 49: Length = 3.78 units, Duration = 0.11 seconds
    Path 50: Length = 3.52 units, Duration = 0.27 seconds
    Path 51: Length = 5.39 units, Duration = 0.15 seconds
    Path 52: Length = 6.01 units, Duration = 0.19 seconds
    Path 53: Length = 4.34 units, Duration = 0.21 seconds
    Path 54: Length = 6.38 units, Duration = 0.25 seconds
    Path 55: Length = 3.28 units, Duration = 0.33 seconds
    Path 56: Length = 4.81 units, Duration = 0.19 seconds
    Path 57: Length = 3.69 units, Duration = 0.26 seconds
    Path 58: Length = 4.16 units, Duration = 0.1 seconds
    Path 59: Length = 4.42 units, Duration = 0.11 seconds
    Path 60: Length = 3.24 units, Duration = 0.31 seconds
    Path 61: Length = 4.25 units, Duration = 0.26 seconds
    Path 62: Length = 8.15 units, Duration = 0.21 seconds
    Path 63: Length = 5.23 units, Duration = 0.15 seconds
    Path 64: Length = 6.78 units, Duration = 0.21 seconds
    Path 65: Length = 4.92 units, Duration = 0.14 seconds
    Path 66: Length = 4.27 units, Duration = 0.25 seconds
    Path 67: Length = 4.23 units, Duration = 0.14 seconds
    Path 68: Length = 3.2 units, Duration = 0.17 seconds
    Path 69: Length = 4.59 units, Duration = 0.17 seconds
    Path 70: Length = 4.39 units, Duration = 0.21 seconds
    Path 71: Length = 4.28 units, Duration = 0.26 seconds
    Path 72: Length = 3.02 units, Duration = 0.16 seconds
    Path 73: Length = 3.29 units, Duration = 0.28 seconds
    Path 74: Length = 5.6 units, Duration = 0.15 seconds
    Path 75: Length = 4.28 units, Duration = 0.14 seconds
    Path 76: Length = 3.16 units, Duration = 0.19 seconds
    Path 77: Length = 5.92 units, Duration = 0.16 seconds
    Path 78: Length = 3.77 units, Duration = 0.16 seconds
    Path 79: Length = 4.12 units, Duration = 0.21 seconds
    Path 80: Length = 3.28 units, Duration = 0.14 seconds
    Path 81: Length = 3.62 units, Duration = 0.14 seconds
    Path 82: Length = 5.03 units, Duration = 0.11 seconds
    Path 83: Length = 3.16 units, Duration = 0.12 seconds
    Path 84: Length = 4.27 units, Duration = 0.38 seconds
    Path 85: Length = 5.27 units, Duration = 0.11 seconds
    Path 86: Length = 3.72 units, Duration = 0.17 seconds
    Path 87: Length = 3.58 units, Duration = 0.16 seconds
    Path 88: Length = 3.12 units, Duration = 0.18 seconds
    Path 89: Length = 4.7 units, Duration = 0.13 seconds
    Path 90: Length = 4.1 units, Duration = 0.15 seconds
    Path 91: Length = 4.3 units, Duration = 0.15 seconds
    Path 92: Length = 4.32 units, Duration = 0.19 seconds
    Path 93: Length = 3.37 units, Duration = 0.18 seconds
    Path 94: Length = 4.71 units, Duration = 0.2 seconds
    Path 95: Length = 4.2 units, Duration = 0.12 seconds
    Path 96: Length = 5.8 units, Duration = 0.14 seconds
    Path 97: Length = 3.17 units, Duration = 0.16 seconds
    Path 98: Length = 4.95 units, Duration = 0.16 seconds
    Path 99: Length = 3.92 units, Duration = 0.19 seconds
    Path 100: Length = 5.62 units, Duration = 0.23 seconds

Planner: PRMstar
  Status: Successful
  Total Time Taken: 510.52 seconds
  Number of Paths: 100
  Average Path Length: 2.0982000000000003
  Shortest Path Length: 2.06
  Longest Path Length: 2.16
  Path Length Std Dev: 0.02031649576083435
  Average Time Per Path: 5.1008 seconds
  Time Per Path Std Dev: 0.2667196280741258 seconds

  Paths:
    Path 1: Length = 2.12 units, Duration = 5.03 seconds
